BenchmarkBlah/complex-sz10-node1-4       	10000000	       215 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       206 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       209 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       209 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       212 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       214 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       212 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       208 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       199 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       198 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       199 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       200 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       202 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       199 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       201 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       198 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       198 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node2-4       	10000000	       201 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2205 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2193 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2150 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2152 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2219 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2155 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2154 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2158 ns/op	     456 B/op	      57 allocs/op
